央视高清,#genre#
CCTV-1,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls74a1.m3u8
中国教育1,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226732/index.m3u8
辽宁本地,#genre#
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226049/index.m3u8
沈阳新闻,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226895/index.m3u8
辽宁都市,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁北方,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226755/index.m3u8
辽宁教育,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226763/index.m3u8
数字电视,#genre#
凤凰中文台,http://otttv.bj.chinamobile.com:80/TVOD/88888888/224/3221225942/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
北京体育,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226730/index.m3u8
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
金鹰纪实,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226714/index.m3u8
全国卫视,#genre#
北京卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226666/index.m3u8
东方卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226733/index.m3u8
广东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226743/index.m3u8
深圳卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226136/index.m3u8
湖南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226727/index.m3u8
浙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226700/index.m3u8
江苏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226902/index.m3u8
黑龙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226145/index.m3u8
天津卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226742/index.m3u8
重庆卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226737/index.m3u8
山东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226739/index.m3u8
安徽卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226746/index.m3u8
四川卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226728/index.m3u8
江西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226044/index.m3u8
湖北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226705/index.m3u8
